codigo,descricao,quantidade,soma,frequencia,frequencia_relativa
4530,8343 BR ARANDELA INJ P/ 1 LAMP ,8,8,1,0.3333
4531,8341 BR ARANDELA INJ P/ 1 LAMP ,1,4,4,0.3077
4531,8341 BR ARANDELA INJ P/ 1 LAMP ,2,14,7,0.5385
4531,8341 BR ARANDELA INJ P/ 1 LAMP ,3,3,1,0.0769
4531,8341 BR ARANDELA INJ P/ 1 LAMP ,4,4,1,0.0769
4532,8341 PR ARANDELA INJ P/ 1 LAMP ,1,3,3,0.2727
4532,8341 PR ARANDELA INJ P/ 1 LAMP ,2,6,3,0.2727
4532,8341 PR ARANDELA INJ P/ 1 LAMP ,4,8,2,0.1818
4532,8341 PR ARANDELA INJ P/ 1 LAMP ,6,6,1,0.0909
4532,8341 PR ARANDELA INJ P/ 1 LAMP ,8,16,2,0.1818
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,1,130,130,0.5118
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,2,148,74,0.2913
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,3,90,30,0.1181
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,4,8,2,0.0079
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,5,35,7,0.0276
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,6,12,2,0.0079
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,7,28,4,0.0157
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,9,9,1,0.0039
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,12,12,1,0.0039
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,13,13,1,0.0039
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,16,16,1,0.0039
47,8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER,17,17,1,0.0039
48,8122 BR POSTE C/TUBO AL P/2 LAMP INJ TER,1,12,12,0.5714
48,8122 BR POSTE C/TUBO AL P/2 LAMP INJ TER,2,6,3,0.1429
48,8122 BR POSTE C/TUBO AL P/2 LAMP INJ TER,3,15,5,0.2381
48,8122 BR POSTE C/TUBO AL P/2 LAMP INJ TER,4,4,1,0.0476
4953,8853 GLOBO DE PLÁSTICO 15X30 LEITOSO,2,4,2,1.0
5201,8322 IMB ARANDELA TRIANG. INJ P/ 1 LAMP,60,60,1,1.0
5349,8267/2 PR/CR SPOT EM AL P/ 2 LAMP,1,1,1,1.0
5506,8384 BR ARANDELA INJ P/1 LAMP SUP C/ PIN,1,2,2,0.6667
5506,8384 BR ARANDELA INJ P/1 LAMP SUP C/ PIN,2,2,1,0.3333
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,1,9,9,0.2308
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,2,22,11,0.2821
5507,8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,3,3,1,0.0256
